
探索
About
FAQ
Donate
帮助
注册
登录
cxx
/
99
模板
代码
工单
合并请求
百科
动态
99
/
ptb-pdx-v4.txt
cxx
cxx
7d8ad5a428
更新 ptb-pdx-v4.txt
3天前
803 行
无行尾
82 KiB
Text
🐉独家线路🐯,#genre#
👉卡顿请左右键切换源👈,https://cloud.wujiyan.cc/f/eKKuD/4.MOV
👉选择流畅的线路观看👈,https://cloud.wujiyan.cc/f/eKKuD/4.MOV
CCTV1,http://223.167.224.106:8123/PLTV/88888888/224/3221225703/10000100000000060000000000035351_0.smil/index.m3u8?fmt=ts2hls&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7Ep6OgLDvLzq6GN5uNV8rZ0g%7EO5gHFZXfEEx5kArqrWyLxJImY9Cz0FiG9s_8lX6EBsJruzJR2G4-aEY00UAxuQ6Prwdck4E0flhSWqASa7AbZgdeMh8HiWEFIiD7BDx7HtU%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20231014195510%2C41022%2C%2C20231014195510%2CUmai%3ACHAN%2F111128%40BESTV.SMG.SMG%2C41022%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000000035351_0%2CEND
CCTV1,http://129.226.149.79:4785/html/V4.php?access_token=DY0624_V4GD_QQ3614703124&id=cctv01zh
CCTV1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8
CCTV1,http://119.125.130.195:9901/tsfile/live/1020_1.m3u8
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://111.230.30.193/php/lyd.php?id=6559
CCTV1,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000018602/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000018602
CCTV2,http://223.167.224.106:8123/PLTV/88888888/224/3221225881/10000100000000060000000001558309_0.smil/index.m3u8?fmt=ts2hls&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7ES5lcT_93jS5zJ9nCiB1u8A%7EO5gHFZXfEEx5kArqrWyLxJImY9Cz0FiG9s_8lX6EBsJruzJR2G4-aEY00UAxuQ6Prwdck4E0flhSWqASa7AbZgdeMh8HiWEFIiD7BDx7HtU%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20231014195510%2C41022%2C%2C20231014195510%2CUmai%3ACHAN%2F5000036%40BESTV.SMG.SMG%2C41022%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000001558309_0%2CEND
CCTV2,http://129.226.149.79:4785/html/V4.php?access_token=DY0624_V4GD_QQ3614703124&id=cctv02jj
CCTV2,http://1.180.2.93:9901/tsfile/live/1035_1.m3u8
CCTV2,http://119.125.130.195:9901/tsfile/live/1021_1.m3u8
CCTV2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV2,http://111.230.30.193/php/lyd.php?id=6540
CCTV2,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000023315/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000023315
CCTV3,http://223.167.224.106:8123/PLTV/88888888/224/3221225861/10000100000000060000000001067918_0.smil/index.m3u8?fmt=ts2hls&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EceFrDt8CJfkEpJDLF2ICxA%7EO5gHFZXfEEx5kArqrWyLxJImY9Cz0FiG9s_8lX6EBsJruzJR2G4-aEY00UAxuQ6Prwdck4E0flhSWqASa7AbZgdeMh8HiWEFIiD7BDx7HtU%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20231014195510%2C41022%2C%2C20231014195510%2CUmai%3ACHAN%2F1369028%40BESTV.SMG.SMG%2C41022%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000001067918_0%2CEND
CCTV3,http://129.226.149.79:4785/html/V4.php?access_token=DY0624_V4GD_QQ3614703124&id=cctv03zy
CCTV3,http://1.180.2.93:9901/tsfile/live/1054_1.m3u8
CCTV3,http://1.180.2.93:9901/tsfile/live/0003_1.m3u8
CCTV3,http://119.125.130.195:9901/tsfile/live/1022_1.m3u8
CCTV3,http://148.135.93.213:81/live.php?id=CCTV3
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3,http://111.230.30.193/php/lyd.php?id=6021
CCTV3,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000013682/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000013682
CCTV4,http://223.167.224.106:8123/PLTV/88888888/224/3221225882/10000100000000060000000001558308_0.smil/index.m3u8?fmt=ts2hls&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7ENUw9KE8aNiJsOWy5oA-ZtQ%7EO5gHFZXfEEx5kArqrWyLxJImY9Cz0FiG9s_8lX6EBsJruzJR2G4-aEY00UAxuQ6Prwdck4E0flhSWqASa7AbZgdeMh8HiWEFIiD7BDx7HtU%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20231014195510%2C41022%2C%2C20231014195510%2CUmai%3ACHAN%2F5000037%40BESTV.SMG.SMG%2C41022%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000001558308_0%2CEND
CCTV4,http://129.226.149.79:4785/html/V4.php?access_token=DY0624_V4GD_QQ3614703124&id=cctv04zw
CCTV4K,http://129.226.149.79:4785/html/V4.php?access_token=DY0624_V4GD_QQ3614703124&id=cctv4k
CCTV4,http://1.180.2.93:9901/tsfile/live/1063_1.m3u8
CCTV4,http://119.125.130.195:9901/tsfile/live/1023_1.m3u8
CCTV4,http://148.135.93.213:81/live.php?id=CCTV4
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,http://111.230.30.193/php/lyd.php?id=6428
CCTV4,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031102/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031102
CCTV5,http://223.167.224.106:8123/PLTV/88888888/224/3221225862/10000100000000060000000001067915_0.smil/index.m3u8?fmt=ts2hls&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7Eg7KWz1IUEKGE8hURK76Ulg%7EO5gHFZXfEEx5kArqrWyLxJImY9Cz0FiG9s_8lX6EBsJruzJR2G4-aEY00UAxuQ6Prwdck4E0flhSWqASa7AbZgdeMh8HiWEFIiD7BDx7HtU%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20231014195510%2C41022%2C%2C20231014195510%2CUmai%3ACHAN%2F1369029%40BESTV.SMG.SMG%2C41022%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000001067915_0%2CEND
CCTV5,http://129.226.149.79:4785/html/V4.php?access_token=DY0624_V4GD_QQ3614703124&id=cctv05ty
CCTV5+,http://129.226.149.79:4785/html/V4.php?access_token=DY0624_V4GD_QQ3614703124&id=cctv05pl
CCTV5+,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8
CCTV5,http://119.125.130.195:9901/tsfile/live/1024_1.m3u8
CCTV5+,http://119.125.130.195:9901/tsfile/live/1025_1.m3u8
CCTV5,http://148.135.93.213:81/live.php?id=CCTV5
CCTV5+,http://148.135.93.213:81/live.php?id=CCTV5p
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV5,http://111.230.30.193/php/lyd.php?id=6469
CCTV5+,http://111.230.30.193/php/lyd.php?id=5603
CCTV5,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000005000025222/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000025222
CCTV5+,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031127/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031127
